UserId,VisitMonth,Attraction,UserVisitFrequency,UserHolidayVisitor,UserAttractionVisitCount,UserEngagementScore,UserCountryVariety,UserAttractionVariety,AttractionEngagementScore,UserGroupAffinity,VisitMode
70456,10,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,0.0,Couples
7567,10,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,1.0,Friends
79069,10,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,1.0,Family
31019,10,Sacred Monkey Forest Sanctuary,2,0.0,2,6.0,1,1,56311.99999999999,1.0,Family
43611,10,Sacred Monkey Forest Sanctuary,3,0.0,1,9.0,1,3,56311.99999999999,0.0,Couples
43471,10,Sacred Monkey Forest Sanctuary,2,0.0,2,10.0,1,1,56311.99999999999,1.0,Friends
76492,9,Sacred Monkey Forest Sanctuary,2,0.0,2,8.0,1,1,56311.99999999999,0.5,Couples
20977,10,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,1.0,Friends
18655,9,Sacred Monkey Forest Sanctuary,1,0.0,1,3.0,1,1,56311.99999999999,0.0,Couples
62907,9,Sacred Monkey Forest Sanctuary,14,0.2857142857142857,7,55.0,1,6,56311.99999999999,0.2857142857142857,Couples
86054,9,Sacred Monkey Forest Sanctuary,6,0.0,2,28.0,1,4,56311.99999999999,0.3333333333333333,Couples
41979,9,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,0.0,Couples
38726,9,Sacred Monkey Forest Sanctuary,4,0.0,2,15.0,1,3,56311.99999999999,1.0,Friends
67147,8,Sacred Monkey Forest Sanctuary,4,0.0,2,18.0,1,3,56311.99999999999,0.0,Couples
2307,9,Sacred Monkey Forest Sanctuary,2,0.0,1,8.0,1,2,56311.99999999999,0.0,Couples
3660,9,Sacred Monkey Forest Sanctuary,2,0.5,2,10.0,1,1,56311.99999999999,0.0,Couples
50130,9,Sacred Monkey Forest Sanctuary,1,0.0,1,3.0,1,1,56311.99999999999,1.0,Friends
30450,8,Sacred Monkey Forest Sanctuary,1,0.0,1,4.0,1,1,56311.99999999999,0.0,Couples
82637,7,Sacred Monkey Forest Sanctuary,1,0.0,1,4.0,1,1,56311.99999999999,1.0,Family
33716,7,Sacred Monkey Forest Sanctuary,2,0.0,1,10.0,1,2,56311.99999999999,0.0,Solo
46517,8,Sacred Monkey Forest Sanctuary,1,0.0,1,1.0,1,1,56311.99999999999,1.0,Family
50127,8,Sacred Monkey Forest Sanctuary,2,0.0,1,8.0,1,2,56311.99999999999,0.0,Couples
61876,8,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,0.0,Couples
16769,6,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,0.0,Couples
9804,7,Sacred Monkey Forest Sanctuary,5,0.0,2,17.0,1,4,56311.99999999999,0.4,Couples
44419,7,Sacred Monkey Forest Sanctuary,5,0.0,3,20.0,1,3,56311.99999999999,0.0,Couples
84531,7,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,0.0,Couples
83915,7,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,0.0,Couples
62742,7,Sacred Monkey Forest Sanctuary,1,0.0,1,4.0,1,1,56311.99999999999,0.0,Couples
47615,7,Sacred Monkey Forest Sanctuary,2,0.0,1,10.0,1,2,56311.99999999999,0.0,Couples
85459,7,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,1.0,Family
71946,7,Sacred Monkey Forest Sanctuary,2,0.0,2,6.0,1,1,56311.99999999999,1.0,Friends
54719,7,Sacred Monkey Forest Sanctuary,2,0.0,1,10.0,1,2,56311.99999999999,1.0,Friends
16291,7,Sacred Monkey Forest Sanctuary,1,0.0,1,4.0,1,1,56311.99999999999,1.0,Family
18137,6,Sacred Monkey Forest Sanctuary,1,0.0,1,1.0,1,1,56311.99999999999,0.0,Couples
37338,6,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,1.0,Family
18628,6,Sacred Monkey Forest Sanctuary,3,0.0,1,14.0,1,3,56311.99999999999,1.0,Family
47542,6,Sacred Monkey Forest Sanctuary,1,0.0,1,3.0,1,1,56311.99999999999,0.0,Solo
71155,6,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,1.0,Friends
73515,6,Sacred Monkey Forest Sanctuary,2,0.0,1,9.0,1,2,56311.99999999999,0.0,Couples
1953,5,Sacred Monkey Forest Sanctuary,3,1.0,2,13.0,1,2,56311.99999999999,1.0,Friends
31372,5,Sacred Monkey Forest Sanctuary,1,1.0,1,4.0,1,1,56311.99999999999,0.0,Couples
35045,5,Sacred Monkey Forest Sanctuary,1,1.0,1,5.0,1,1,56311.99999999999,0.0,Couples
79488,4,Sacred Monkey Forest Sanctuary,3,0.0,2,9.0,1,2,56311.99999999999,1.0,Family
14186,4,Sacred Monkey Forest Sanctuary,1,0.0,1,4.0,1,1,56311.99999999999,1.0,Family
78554,10,Sacred Monkey Forest Sanctuary,5,0.0,1,24.0,1,5,56311.99999999999,0.0,Couples
30511,11,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,1.0,Friends
50138,7,Sacred Monkey Forest Sanctuary,2,0.0,1,10.0,1,2,56311.99999999999,1.0,Friends
83974,10,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,0.0,Solo
40006,5,Sacred Monkey Forest Sanctuary,1,1.0,1,5.0,1,1,56311.99999999999,0.0,Solo
50311,1,Sacred Monkey Forest Sanctuary,1,0.0,1,4.0,1,1,56311.99999999999,0.0,Couples
56894,1,Sacred Monkey Forest Sanctuary,11,0.1818181818181818,5,45.0,1,5,56311.99999999999,0.0909090909090909,Couples
36421,12,Sacred Monkey Forest Sanctuary,2,0.5,1,10.0,1,2,56311.99999999999,0.5,Friends
62902,1,Sacred Monkey Forest Sanctuary,5,0.0,3,23.0,1,3,56311.99999999999,0.2,Family
61175,12,Sacred Monkey Forest Sanctuary,2,1.0,2,10.0,1,1,56311.99999999999,0.0,Couples
61849,11,Sacred Monkey Forest Sanctuary,1,0.0,1,4.0,1,1,56311.99999999999,0.0,Couples
51784,10,Sacred Monkey Forest Sanctuary,3,0.3333333333333333,2,15.0,1,2,56311.99999999999,0.0,Couples
61709,12,Sacred Monkey Forest Sanctuary,2,1.0,2,10.0,1,1,56311.99999999999,0.0,Couples
64920,3,Sacred Monkey Forest Sanctuary,7,0.0,1,29.000000000000004,1,4,56311.99999999999,0.2857142857142857,Couples
27538,4,Sacred Monkey Forest Sanctuary,2,0.0,2,10.0,1,1,56311.99999999999,1.0,Friends
27449,7,Sacred Monkey Forest Sanctuary,2,0.5,2,9.0,1,1,56311.99999999999,1.0,Family
64392,3,Sacred Monkey Forest Sanctuary,8,0.125,3,38.0,1,4,56311.99999999999,0.25,Couples
79911,11,Sacred Monkey Forest Sanctuary,3,0.0,2,15.0,1,2,56311.99999999999,0.0,Couples
55535,3,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,0.0,Couples
51283,3,Sacred Monkey Forest Sanctuary,1,0.0,1,4.0,1,1,56311.99999999999,0.0,Couples
73796,3,Sacred Monkey Forest Sanctuary,2,0.0,1,7.0,1,2,56311.99999999999,1.0,Friends
21207,3,Sacred Monkey Forest Sanctuary,2,0.0,1,6.0,1,2,56311.99999999999,1.0,Friends
23868,3,Sacred Monkey Forest Sanctuary,1,0.0,1,5.0,1,1,56311.99999999999,1.0,Friends
13954,8,Sacred Monkey Forest Sanctuary,3,0.3333333333333333,2,9.0,1,2,56311.99999999999,1.0,Family
